model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L3,-5121511.0,mean_absolute_error,220.69895339012146,4709.490439414978,0.0005970001220703125,0.09043407440185547,3,True,8
WeightedEnsemble_L2,-5122403.0,mean_absolute_error,118.9399893283844,2268.364797115326,0.0003981590270996094,0.04282498359680176,2,True,6
LightGBM_BAG_L1,-5428355.0,mean_absolute_error,8.320028066635132,378.31910395622253,8.320028066635132,378.31910395622253,1,True,2
LightGBMXT_BAG_L2,-5729638.5,mean_absolute_error,220.6983563899994,4709.400005340576,1.1836905479431152,64.60445594787598,2,True,7
RandomForestMSE_BAG_L1,-5847787.0,mean_absolute_error,102.12523698806763,1510.3475270271301,102.12523698806763,1510.3475270271301,1,True,3
LightGBMXT_BAG_L1,-5963489.5,mean_absolute_error,8.494326114654541,379.65534114837646,8.494326114654541,379.65534114837646,1,True,1
CatBoost_BAG_L1,-6378352.0,mean_absolute_error,1.3220555782318115,737.2693440914154,1.3220555782318115,737.2693440914154,1,True,4
ExtraTreesMSE_BAG_L1,-6421800.0,mean_absolute_error,99.25301909446716,1639.2042331695557,99.25301909446716,1639.2042331695557,1,True,5
